2026-05-21 20:28:59 | logger | WARNING  | extract.py:86 | extract_air_quality | Нет станций OpenAQ вблизи (-53.09, 84.22)
2026-05-21 20:28:59 | logger | INFO     | service.py:69 | check_all_locations | Информации о качестве воздуха в локации 14948 не обнаружено
2026-05-21 20:29:00 | logger | INFO     | service.py:57 | check_all_locations | Проверка локации 14949 (координаты 56.72, -91.26)
2026-05-21 20:29:00 | logger | INFO     | extract.py:48 | find_nearby_locations | Запрашиваем OpenAQ: https://api.openaq.org/v3/locations?coordinates=56.72%2C-91.26&radius=25000&limit=15
2026-05-21 20:29:00 | logger | INFO     | extract.py:56 | find_nearby_locations | OpenAQ: найдено 0 станций в радиусе 25000м от (56.72, -91.26)
2026-05-21 20:29:00 | logger | WARNING  | extract.py:86 | extract_air_quality | Нет станций OpenAQ вблизи (56.72, -91.26)
2026-05-21 20:29:00 | logger | INFO     | service.py:69 | check_all_locations | Информации о качестве воздуха в локации 14949 не обнаружено
2026-05-21 20:29:00 | logger | INFO     | service.py:57 | check_all_locations | Проверка локации 14950 (координаты -25.55, -4.89)
2026-05-21 20:29:00 | logger | INFO     | extract.py:48 | find_nearby_locations | Запрашиваем OpenAQ: https://api.openaq.org/v3/locations?coordinates=-25.55%2C-4.89&radius=25000&limit=15
2026-05-21 20:29:00 | logger | INFO     | extract.py:56 | find_nearby_locations | OpenAQ: найдено 0 станций в радиусе 25000м от (-25.55, -4.89)
2026-05-21 20:29:00 | logger | WARNING  | extract.py:86 | extract_air_quality | Нет станций OpenAQ вблизи (-25.55, -4.89)
2026-05-21 20:29:00 | logger | INFO     | service.py:69 | check_all_locations | Информации о качестве воздуха в локации 14950 не обнаружено
2026-05-21 20:29:00 | logger | INFO     | service.py:57 | check_all_locations | Проверка локации 14951 (координаты -20.72, 122.32)
2026-05-21 20:29:00 | logger | INFO     | extract.py:48 | find_nearby_locations | Запрашиваем OpenAQ: https://api.openaq.org/v3/locations?coordinates=-20.72%2C122.32&radius=25000&limit=15
2026-05-21 20:29:01 | logger | INFO     | extract.py:56 | find_nearby_locations | OpenAQ: найдено 0 станций в радиусе 25000м от (-20.72, 122.32)
2026-05-21 20:29:01 | logger | WARNING  | extract.py:86 | extract_air_quality | Нет станций OpenAQ вблизи (-20.72, 122.32)
2026-05-21 20:29:01 | logger | INFO     | service.py:69 | check_all_locations | Информации о качестве воздуха в локации 14951 не обнаружено
